"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","3","0.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1011","0.0-1.0","o6g1w3c4","1232","598","true","edge-chromium","120.0.0","false","Windows 10","true","60.04","true","true","","","","","","","","","","","","","","","","","",""
"","instructions","2","62834","0.0-2.0","o6g1w3c4","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12079},{""page_index"":1,""viewing_time"":21682},{""page_index"":2,""viewing_time"":28058}]","61821","The experiment and consent","The experiment and consent","","","","","","","","","","","","","",""
"","fullscreen","3","72318","0.0-3.0","o6g1w3c4","1280","720","","","","","","","","","","","8472","","Full screen","true","","","","","","","","","","","","",""
"","instructions","4","116823","0.0-4.0","o6g1w3c4","1280","720","","","","","","","","","","[{""page_index"":0,""viewing_time"":26095},{""page_index"":1,""viewing_time"":18408}]","44504","Instructions","Basic overview explanation","","","","","","","","","","","","","",""
"","html-keyboard-response","5","129480","0.0-5.0","o6g1w3c4","1280","720","","","","","","","","","","","11143","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","",""
"","html-keyboard-response","6","130240","0.0-6.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","7","130975","0.0-7.0","o6g1w3c4","1280","720","","","","","","","","","","","734","adj","Practice diganostic trial","","f","practice","0","false","1","RIGHT","j","0","","","","",""
"","call-function","8","130976","0.0-9.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","131288","0.0-9.0-1.0","o6g1w3c4","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","10","131289","0.0-9.0-2.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","132048","0.0-10.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","12","132611","0.0-11.0","o6g1w3c4","1280","720","","","","","","","","","","","562","gdn","Practice diganostic trial","","j","practice","1","false","","RIGHT","j","1","","","","",""
