"value","trial_type","trial_index","time_elapsed","internal_node_id","id","age","gender","distraction","distraction_feedback","motivation","motivation_feedback","open_feedback","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","response","inducer_run","diagnostic_run","inducer_trial","italic","required_response_side","required_response_key","correct_response","congruency","accuracy"
"","call-function","0","2","0.0-0.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1000","0.0-1.0","3j0z8qr6","","","6","","6","","","752","847","true","chrome","118.0.0","false","Windows 10","true","60.3","true","true","","","","","","","","","","","","","",""
"","instructions","2","2283","0.0-2.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":771},{""page_index"":1,""viewing_time"":511}]","1283","Instructions","Experiment description","","","","","","","","","",""
"","html-keyboard-response","3","3964","0.0-3.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","173","If italic press RIGHT | If upright press LEFT","Diagnostic instructions"," ","","","","","","","","",""
"","html-keyboard-response","4","4139","0.0-4.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","174","If abv press LEFT | If kpt press RIGHT","Inducer instructions"," ","0","","","","","","","",""
"","html-keyboard-response","5","4143","0.0-5.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - short","null","","","","","","","","",""
"","html-keyboard-response","6","4578","0.0-6.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","435","kpt","Diagnostic trial","f","0","0","false","true","RIGHT","j","false","false",""
"","html-keyboard-response","7","4581","0.0-9.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - short","null","","","","","","","","",""
"","html-keyboard-response","8","4609","0.0-10.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","28","abv","Diagnostic trial","j","0","1","false","true","RIGHT","j","true","false",""
"","html-keyboard-response","9","4613","0.0-13.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - short","null","","","","","","","","",""
"","html-keyboard-response","10","4756","0.0-14.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","142","abv","Diagnostic trial","f","0","2","false","false","LEFT","f","true","false",""
"","html-keyboard-response","11","4759","0.0-17.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - short","null","","","","","","","","",""
"","html-keyboard-response","12","4834","0.0-18.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","75","abv","Diagnostic trial","j","0","3","false","true","RIGHT","j","true","false",""
"","html-keyboard-response","13","4837","0.0-21.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - short","null","","","","","","","","",""
"","html-keyboard-response","14","4931","0.0-22.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","93","abv","Diagnostic trial","f","0","4","false","true","RIGHT","j","false","false",""
"","html-keyboard-response","15","4934","0.0-25.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - short","null","","","","","","","","",""
"","html-keyboard-response","16","5029","0.0-26.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","94","abv","Inducer trial","j","0","","true","","LEFT","f","false","",""
"","html-keyboard-response","17","6535","0.0-29.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","null","+","Fixation - long","null","","","","","","","","",""
"","call-function","18","6535","0.0-30.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey","19","101054","0.0-31.0","3j0z8qr6","","","6","","6","","","","","","","","","","","","","","","94481","gender-age-distraction-motivation-feedback","Demographics, motivation, distraction and feedback ","{""P0_Q0"":null,""gender"":""Male"",""age"":23,""P1_Q0"":null,""distraction"":6,""distraction_feedback"":"""",""P2_Q0"":null,""motivation"":6,""motivation_feedback"":"""",""open_feedback"":""awd ""}","","","","","","","","","[]"
