"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruency","accuracy","gender","age","distraction","distraction_feedback","motivation","motivation_feedback","open_feedback","pre_screen","post_screen"
"","call-function","0","1","0.0-0.0","crsu4r7p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","999","0.0-1.0","crsu4r7p","767","847","true","chrome","118.0.0","false","Windows 10","true","60.67","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","3282","0.0-2.0","crsu4r7p","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":832},{""page_index"":1,""viewing_time"":918},{""page_index"":2,""viewing_time"":531}]","2281","The experiment and consent","The experiment and consent","832","918","531","","","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","4892","0.0-3.0","crsu4r7p","767","983","","","","","","","","","","","608","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"","instructions","4","7680","0.0-4.0","crsu4r7p","767","983","","","","","","","","","","[{""page_index"":0,""viewing_time"":2059},{""page_index"":1,""viewing_time"":728}]","2787","Instructions","Final experiment explanation","2059","728","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","9319","0.0-5.0","crsu4r7p","767","983","","","","","","","","","","","127","If italic press RIGHT | If upright press LEFT","Diagnostic instructions","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","10024","0.0-6.0","crsu4r7p","767","983","","","","","","","","","","","706","If i50 press RIGHT | If dlo press LEFT","Inducer instructions","","","",""," ","1","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","10027","0.0-7.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","10471","0.0-8.0","crsu4r7p","767","983","","","","","","","","","","","443","dlo","Diagnostic trial","","","","","j","1","1","false","true","LEFT","RIGHT","j","true","false","","","","","","","","","",""
"","html-keyboard-response","9","10475","0.0-11.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","10830","0.0-12.0","crsu4r7p","767","983","","","","","","","","","","","355","dlo","Diagnostic trial","","","","","f","1","2","false","false","LEFT","LEFT","f","true","true","","","","","","","","","",""
"","html-keyboard-response","11","10833","0.0-15.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","11165","0.0-16.0","crsu4r7p","767","983","","","","","","","","","","","332","i50","Diagnostic trial","","","","","j","1","3","false","false","RIGHT","LEFT","f","false","false","","","","","","","","","",""
"","html-keyboard-response","13","11168","0.0-19.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","11495","0.0-20.0","crsu4r7p","767","983","","","","","","","","","","","326","dlo","Diagnostic trial","","","","","f","1","4","false","false","LEFT","LEFT","f","true","true","","","","","","","","","",""
"","html-keyboard-response","15","11499","0.0-23.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","11813","0.0-24.0","crsu4r7p","767","983","","","","","","","","","","","314","i50","Diagnostic trial","","","","","f","1","5","false","true","RIGHT","RIGHT","j","false","true","","","","","","","","","",""
"","html-keyboard-response","17","11816","0.0-27.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","12158","0.0-28.0","crsu4r7p","767","983","","","","","","","","","","","342","dlo","Inducer trial","","","","","f","1","","true","","LEFT","","f","true","","","","","","","","","","",""
"","html-keyboard-response","19","13665","0.0-31.0","crsu4r7p","767","983","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","20","13666","0.0-32.0","crsu4r7p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey","21","37300","0.0-33.0","crsu4r7p","767","983","","","","","","","","","","","23595","gender-age-distraction-motivation-feedback","Demographics, motivation, distraction and feedback","","","","","{""P0_Q0"":null,""gender"":""Male"",""age"":32,""P1_Q0"":null,""distraction"":5,""distraction_feedback"":"""",""P2_Q0"":null,""motivation"":3,""motivation_feedback"":"""",""open_feedback"":""qweeee""}","","","","","","","","","","[]","Male","32","5","","3","","qweeee","767x847","767x767"
