"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","required_inducer_response_side","required_diag_response_side","required_diag_response_key","correct_response","congruency","required_inducer_response_key","accuracy","gender","age","distraction","distraction_feedback","motivation","motivation_feedback","open_feedback"
"","call-function","0","2","0.0-0.0","7xvzspo0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","995","0.0-1.0","7xvzspo0","752","956","true","chrome","118.0.0","false","Windows 10","true","60.67","true","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","112840","0.0-2.0","7xvzspo0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1052},{""page_index"":1,""viewing_time"":10591},{""page_index"":2,""viewing_time"":100200}]","111844","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","114696","0.0-3.0","7xvzspo0","","","","","","","","","","","","","849","","","true","","","","","","","","","","","","","","","","","","",""
"","instructions","4","126060","0.0-4.0","7xvzspo0","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6989},{""page_index"":1,""viewing_time"":4374}]","11364","Instructions","Final experiment explanation","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","147315","0.0-5.0","7xvzspo0","","","","","","","","","","","","","19737","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","155106","0.0-6.0","7xvzspo0","","","","","","","","","","","","","7790","If jme press RIGHT | If dba press LEFT","Inducer instructions",""," ","0","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","155112","0.0-7.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","156036","0.0-8.0","7xvzspo0","","","","","","","","","","","","","923","dba","Diagnostic trial","","j","1","1","false","false","LEFT","RIGHT","j","true","false","","","","","","","","",""
"","html-keyboard-response","9","156040","0.0-11.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","156734","0.0-12.0","7xvzspo0","","","","","","","","","","","","","694","dba","Diagnostic trial","","f","1","2","false","true","LEFT","LEFT","f","true","false","","","","","","","","",""
"","html-keyboard-response","11","156738","0.0-15.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","157456","0.0-16.0","7xvzspo0","","","","","","","","","","","","","717","dba","Diagnostic trial","","f","1","3","false","false","LEFT","RIGHT","j","false","false","","","","","","","","",""
"","html-keyboard-response","13","157460","0.0-19.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","158138","0.0-20.0","7xvzspo0","","","","","","","","","","","","","676","jme","Diagnostic trial","","j","1","4","false","false","RIGHT","RIGHT","j","true","false","","","","","","","","",""
"","html-keyboard-response","15","158142","0.0-23.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","158847","0.0-24.0","7xvzspo0","","","","","","","","","","","","","704","dba","Diagnostic trial","","f","1","5","false","true","LEFT","LEFT","f","true","false","","","","","","","","",""
"","html-keyboard-response","17","158851","0.0-27.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","159494","0.0-28.0","7xvzspo0","","","","","","","","","","","","","642","dba","Diagnostic trial","","j","1","6","false","true","LEFT","LEFT","f","false","false","","","","","","","","",""
"","html-keyboard-response","19","159497","0.0-31.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","160417","0.0-32.0","7xvzspo0","","","","","","","","","","","","","918","jme","Inducer trial","","j","1","","true","","RIGHT","","","true","","j","","","","","","","",""
"","html-keyboard-response","21","161922","0.0-35.0","7xvzspo0","","","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","","","","","","","",""
"","call-function","22","161923","0.0-36.0","7xvzspo0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey","23","177070","0.0-37.0","7xvzspo0","","","","","","","","","","","","","15083","gender-age-distraction-motivation-feedback","Demographics, motivation, distraction and feedback ","","{""P0_Q0"":null,""gender"":""Other"",""age"":123,""P1_Q0"":null,""distraction"":6,""distraction_feedback"":"" 2"",""P2_Q0"":null,""motivation"":4,""motivation_feedback"":""123awd"",""open_feedback"":""awd awd""}","","","","","","","","","","","[]","Other","123","6"," 2","4","123awd","awd awd"
