"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","accuracy","gender","age","distraction","distraction_feedback","motivation","motivation_feedback","open_feedback"
"","call-function","0","1","0.0-0.0","670lfbkv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1004","0.0-1.0","670lfbkv","894","956","true","chrome","118.0.0","false","Windows 10","true","60.67","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","4886","0.0-2.0","670lfbkv","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":824},{""page_index"":1,""viewing_time"":1169},{""page_index"":2,""viewing_time"":1887}]","3881","The experiment and consent","The experiment and consent","824","1169","1887","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","7194","0.0-3.0","670lfbkv","894","1092","","","","","","","","","","","1292","","technicals","","","","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","10588","0.0-4.0","670lfbkv","894","1092","","","","","","","","","","[{""page_index"":0,""viewing_time"":1702},{""page_index"":1,""viewing_time"":1690}]","3392","Instructions","Final experiment explanation","1702","1690","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","14223","0.0-5.0","670lfbkv","894","1092","","","","","","","","","","","2129","If italic press RIGHT | If upright press LEFT","Diagnostic instructions","","","",""," ","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","20567","0.0-6.0","670lfbkv","894","1092","","","","","","","","","","","6342","If tne press RIGHT | If sbk press LEFT","Inducer instructions","","","",""," ","1","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","21321","0.0-7.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","22258","0.0-8.0","670lfbkv","894","1092","","","","","","","","","","","935","tne","Diagnostic trial","","","","","f","1","1","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","9","23013","0.0-11.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","23608","0.0-12.0","670lfbkv","894","1092","","","","","","","","","","","593","tne","Diagnostic trial","","","","","j","1","2","false","true","RIGHT","RIGHT","j","true","true","","","","","","","",""
"","html-keyboard-response","11","24366","0.0-15.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","24799","0.0-16.0","670lfbkv","894","1092","","","","","","","","","","","433","tne","Diagnostic trial","","","","","j","1","3","false","true","RIGHT","RIGHT","j","true","true","","","","","","","",""
"","html-keyboard-response","13","25564","0.0-19.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","25977","0.0-20.0","670lfbkv","894","1092","","","","","","","","","","","412","tne","Diagnostic trial","","","","","j","1","4","false","true","RIGHT","RIGHT","j","true","true","","","","","","","",""
"","html-keyboard-response","15","26738","0.0-23.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","27322","0.0-24.0","670lfbkv","894","1092","","","","","","","","","","","584","sbk","Diagnostic trial","","","","","f","1","5","false","false","LEFT","LEFT","f","true","true","","","","","","","",""
"","html-keyboard-response","17","28086","0.0-27.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","28700","0.0-28.0","670lfbkv","894","1092","","","","","","","","","","","613","sbk","Diagnostic trial","","","","","f","1","6","false","false","LEFT","LEFT","f","true","true","","","","","","","",""
"","html-keyboard-response","19","29458","0.0-31.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","30496","0.0-32.0","670lfbkv","894","1092","","","","","","","","","","","1037","tne","Diagnostic trial","","","","","f","1","7","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","21","31250","0.0-35.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","31738","0.0-36.0","670lfbkv","894","1092","","","","","","","","","","","487","tne","Diagnostic trial","","","","","j","1","8","false","true","RIGHT","RIGHT","j","true","true","","","","","","","",""
"","html-keyboard-response","23","32491","0.0-39.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","33175","0.0-40.0","670lfbkv","894","1092","","","","","","","","","","","684","tne","Diagnostic trial","","","","","f","1","9","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","25","33941","0.0-43.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","34506","0.0-44.0","670lfbkv","894","1092","","","","","","","","","","","564","tne","Diagnostic trial","","","","","f","1","10","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","27","35263","0.0-47.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","35724","0.0-48.0","670lfbkv","894","1092","","","","","","","","","","","461","tne","Diagnostic trial","","","","","f","1","11","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","29","36483","0.0-51.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","30","37078","0.0-52.0","670lfbkv","894","1092","","","","","","","","","","","594","tne","Diagnostic trial","","","","","f","1","12","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","31","37839","0.0-55.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","38540","0.0-56.0","670lfbkv","894","1092","","","","","","","","","","","700","sbk","Diagnostic trial","","","","","f","1","13","false","false","LEFT","LEFT","f","true","true","","","","","","","",""
"","html-keyboard-response","33","39296","0.0-59.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","39805","0.0-60.0","670lfbkv","894","1092","","","","","","","","","","","507","sbk","Diagnostic trial","","","","","f","1","14","false","true","LEFT","RIGHT","j","false","false","","","","","","","",""
"","call-function","35","39807","0.0-62.0-0.0","670lfbkv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","40108","0.0-62.0-1.0","670lfbkv","894","1092","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","",""
"","call-function","37","40109","0.0-62.0-2.0","670lfbkv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","40872","0.0-63.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","42001","0.0-64.0","670lfbkv","894","1092","","","","","","","","","","","1130","tne","Diagnostic trial","","","","","f","1","15","false","false","RIGHT","LEFT","f","true","false","","","","","","","",""
"","html-keyboard-response","40","42758","0.0-67.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","43303","0.0-68.0","670lfbkv","894","1092","","","","","","","","","","","545","sbk","Diagnostic trial","","","","","f","1","16","false","false","LEFT","LEFT","f","true","true","","","","","","","",""
"","html-keyboard-response","42","44067","0.0-71.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","44589","0.0-72.0","670lfbkv","894","1092","","","","","","","","","","","520","sbk","Inducer trial","","","","","j","1","","true","","LEFT","","f","false","","","","","","","","",""
"","call-function","44","44590","0.0-74.0-0.0","670lfbkv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","44895","0.0-74.0-1.0","670lfbkv","894","1092","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","",""
"","call-function","46","44895","0.0-74.0-2.0","670lfbkv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","46403","0.0-75.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","57829","0.0-76.0","670lfbkv","894","1092","","","","","","","","","","","11426","If ubr press RIGHT | If iec press LEFT","Inducer instructions","","","",""," ","2","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","58594","0.0-77.0","670lfbkv","894","1092","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","59859","0.0-78.0","670lfbkv","894","1092","","","","","","","","","","","1265","ubr","Diagnostic trial","","","","","j","2","1","false","true","RIGHT","RIGHT","j","true","true","","","","","","","",""
