"","x"
"1","a31"
"2","a68"
"3","aab"
"4","acl"
"5","aib"
"6","aks"
"7","amh"
"8","aou"
"9","apa"
"10","apo"
"11","aro"
"12","asm"
"13","b52"
"14","bca"
"15","bcc"
"16","bcd"
"17","bue"
"18","ccg"
"19","ccu"
"20","cgt"
"21","cle"
"22","cns"
"23","cov"
"24","crc"
"25","dnf"
"26","doz"
"27","dts"
"28","dwi"
"29","ecj"
"30","eea"
"31","epr"
"32","eto"
"33","ett"
"34","exi"
"35","fap"
"36","fau"
"37","fav"
"38","ffd"
"39","gof"
"40","gop"
"41","haf"
"42","heo"
"43","hmn"
"44","hqg"
"45","hrr"
"46","huo"
"47","iba"
"48","ics"
"49","igg"
"50","ihs"
"51","ini"
"52","jao"
"53","jvc"
"54","kah"
"55","kak"
"56","kem"
"57","kno"
"58","krb"
"59","lae"
"60","lds"
"61","ldv"
"62","lls"
"63","lly"
"64","loe"
"65","lut"
"66","lyd"
"67","m56"
"68","mds"
"69","mgb"
"70","mpv"
"71","mvp"
"72","ncc"
"73","ndm"
"74","nea"
"75","nsf"
"76","oca"
"77","oit"
"78","olm"
"79","ory"
"80","oto"
"81","paf"
"82","peh"
"83","pfo"
"84","piz"
"85","plu"
"86","pnd"
"87","poh"
"88","ptt"
"89","qal"
"90","rok"
"91","rpr"
"92","rua"
"93","rul"
"94","rwe"
"95","sa1"
"96","sdl"
"97","soi"
"98","sov"
"99","suh"
"100","svr"
"101","sw1"
"102","swe"
"103","tca"
"104","teb"
"105","tek"
"106","tr6"
"107","txa"
"108","ucd"
"109","uer"
"110","uga"
"111","uhf"
"112","uxo"
"113","vws"
"114","weg"
"115","wpa"
"116","xet"
"117","xfo"
"118","xia"
"119","xkr"
"120","xl5"
"121","xxl"
"122","yoh"
"123","zer"
"124","zor"
"125","zou"
"126","abv"
"127","adc"
"128","aet"
"129","ahi"
"130","ald"
"131","alm"
"132","arv"
"133","asg"
"134","aso"
"135","awl"
"136","awm"
"137","bew"
"138","bil"
"139","bps"
"140","bsl"
"141","c12"
"142","cfa"
"143","cfp"
"144","cli"
"145","cm1"
"146","cpu"
"147","crs"
